album_name,release_date,artwork_url,track_name,track_number,duration_ms,spotify_track_id,official_track_number,official_track_name,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,musicbrainz_recording_id,bpm
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Misanthrope,8,303906,1VzTXTV0LqoD8OJE14yD3E,8,Misanthrope,163512,1157024,163512,1157024,163512,1157024,163512,1157024,8462098c-7666-4db6-b909-c004fa41e54c,99.42552185
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Perennial Quest,9,501360,794bicUnAgsMFeCArdMDkD,9,Perennial Quest,140210,890407,140210,890407,140210,890407,140210,890407,f3e47d10-52b5-4c9f-a7ca-616f0a9156a1,130.4798279
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Scavenger of Human Sorrow,1,416680,4IfEHfXLyepX85MFehNHNd,1,Scavenger of Human Sorrow,211925,1586524,211925,1586524,211925,1586524,211925,1586524,d87b585b-ecd9-483b-80e4-63a7ca257b13,99
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Bite the Pain,2,269773,3ZE2F2FEWk1QzgQWMnM6hJ,2,Bite the Pain,194022,1454072,194022,1454072,194022,1454072,194022,1454072,8559d2aa-856f-4791-b0e5-d13e47343805,172.2660522
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Spirit Crusher,3,407000,3sSonVXqDeoEFj2lM7mpYT,3,Spirit Crusher,257635,2287058,257635,2287058,257635,2287058,257635,2287058,3f2b1899-1633-499b-8640-f4a5680dc7b9,97
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Story to Tell,4,394933,1PrcH1pIHVSrr4eXsDOLfQ,4,Story to Tell,159099,1087478,159099,1087478,159099,1087478,159099,1087478,11ee96b0-e2c5-4561-9768-333e7b8ace48,172.2658386
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Flesh and the Power It Holds,5,506813,0GILd3eTcEsjzSTyDX2XXi,5,Flesh and the Power It Holds,184498,1460510,184498,1460510,184498,1460510,184498,1460510,5c926e91-f795-4893-b76c-d931b04edb93,112.0569763
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Voice of the Soul,6,223933,69Yia3qCLw6N9U80WhLwLn,6,Voice of the Soul,364049,3100368,364049,3100368,364049,3100368,364049,3100368,9fb788c4-d993-4ca7-83e8-f09c8e416063,120.898056
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,To Forgive is to Suffer,7,355666,5nERUGtVswJAKRBXLWuZWO,7,To Forgive Is to Suffer,143504,914026,143504,914026,143504,914026,143504,914026,4d1d74b9-02fe-4ac4-821c-2d58cff8ad55,172.2659149
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,A Moment of Clarity,8,445866,12hBZJPHjp9q4s8s9jwYQX,8,A Moment of Clarity,133836,816951,133836,816951,133836,816951,133836,816951,3cf72c58-05a3-48d0-9f89-b720dc51b895,122.7461472
The Sound of Perseverance - Reissue,1998,https://i.scdn.co/image/ab67616d0000b27391fcdc499f2dbfbcd7e58b59,Painkiller,9,362346,4uOSpJxcpzeNCWXYoXGJM1,9,Painkiller,181249,1289852,181249,1289852,181249,1289852,181249,1289852,7d8577a6-ce1c-46e5-a520-c39f254faf54,103.1646423
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Leprosy,1,380440,6QzjXmQ1mHNYHrwNurA9vJ,1,Leprosy,163645,1053679,163645,1053679,163645,1053679,163645,1053679,9900bd7e-fc45-4512-9a19-adb5d20f376b,109
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Born Dead,2,207280,5sD3j721OW2zLYi7NSWzIa,2,Born Dead,138728,846275,138728,846275,138728,846275,138728,846275,6c08eeef-3d59-49df-99e0-ebcd53579918,108
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Forgotten Past,3,276120,0Vtq6zQ56QuXUEGZET3iHm,3,Forgotten Past,124109,690847,124109,690847,124109,690847,124109,690847,f430a3f6-3cd8-47fc-8be6-cdb9542222c2,146.7199554
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Left to Die,4,277373,0BO5g7FXNhZgQuC8xIORDm,4,Left to Die,135472,809688,135472,809688,135472,809688,135472,809688,e0c52183-eaad-4cc4-b0de-464098dba93e,100.4021683
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Pull the Plug,5,266773,2l0h4aBFLp9HdoaNdCTlbW,5,Pull the Plug,222034,1853105,222034,1853105,222034,1853105,222034,1853105,ddadbce7-eb70-407b-8517-d40b6924039d,103.2993469
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Open Casket,6,295693,4E1dHrIMIXybxs9DqguLyZ,6,Open Casket,126741,770812,126741,770812,126741,770812,126741,770812,0aa9e7b3-a351-441a-8208-79ccd3bc8f91,117
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Primitive Ways,7,273533,5S2zI4ZD15GtrC4MHoKTqy,7,Primitive Ways,106176,536860,106176,536860,106176,536860,106176,536860,23801f29-111a-42e3-8cd0-f2cc65b2eeb7,103.843895
Leprosy,8/12/88,https://i.scdn.co/image/ab67616d0000b273437e65ee8c9a1aa35ed36b90,Choke on It,8,355213,3iRcqSKMnnB3bmZlpeL8eP,8,Choke on It,100672,516787,100672,516787,100672,516787,100672,516787,0f5cd4d4-178a-471f-bbab-265aa783df40,123.5721893
